1,1,250
1,2,0.3
1,3,2
1,4,0.5
1,5,1
1,6,1
1,7,
1,8,
1,9,3
1,10,0.5
2,11,80
2,12,30
2,13,1
2,14,2
2,15,15
2,16,5
2,17,5
2,18,5
2,8,10
3,19,1.5
3,20,1
3,21,0.25
3,22,
3,18,0.5
3,23,0.3
3,24,1
3,25,1
3,26,1
4,11,80
4,27,30
4,21,1
4,28,1
4,18,5
4,17,10
4,29,5
4,25,5
4,30,2
4,31,10
4,8,30
5,32,1
5,33,1
5,34,1
5,35,1
5,36,2
5,37,
6,11,70
6,27,30
6,38,20
6,14,1
6,21,1
6,30,2
6,25,5
6,18,5
6,28,1
6,8,30
6,29,5
6,17,5
7,39,100
7,21,1
7,40,2
7,25,5
7,41,40
7,42,15
7,17,10
7,31,5
8,43,100
8,44,1
8,28,3
8,45,2
8,46,8
8,47,
8,18,
8,30,
8,48,0.5
8,49,
9,50,150
9,11,20
9,51,2
9,12,10
9,14,1
9,52,0.25
9,41,20
9,53,2
9,21,1
9,40,1
9,25,5
9,17,5
9,29,5
9,16,5
9,8,10
9,18,5
10,36,3
10,54,2
10,33,2
10,17,0.5
10,25,
10,55,1
10,56,30
10,57,5
10,58,25
10,59,40
10,4,30
10,42,
10,60,0.5
10,61,10
10,21,1
10,28,1
10,36,1
10,62,0.5
10,10,1
10,54,1
10,63,1
10,64,2
10,36,2
11,65,1
11,6,1
11,66,2
11,52,1
12,67,5
12,11,30
12,27,15
12,38,20
12,14,1
12,21,1
12,30,1
12,25,15
12,18,5
12,29,5
12,28,1
12,8,20
12,54,5
12,17,5
13,68,90
13,69,1
13,8,10
13,70,40
13,71,40
13,2,40
13,72,30
13,73,10
14,74,1
14,75,0.5
14,76,2
14,71,3
14,2,0.5
14,77,1
14,78,1
14,18,
14,30,
14,37,
14,34,2
15,11,200
15,2,0.25
15,21,0.25
15,23,0.5
15,41,3
15,17,1
15,25,1
15,79,0.25
15,30,
15,36,3
15,80,1
15,81,2
15,82,5
16,39,500
16,36,500
16,83,3
16,13,1
16,28,3
16,84,1
16,85,3
16,47,1
17,86,200
17,18,
17,30,
17,47,
17,87,2
17,45,2
17,28,4
17,2,0.16
17,88,0.5
17,87,2
17,89,1
18,90,20
18,46,2
18,91,2
18,92,2
18,72,1
18,93,0.5
18,94,0.5
18,95,0.25
18,96,0.5
18,97,0.25
18,98,0.25
19,99,0.25
19,100,3
19,101,2
19,102,1
19,14,1
19,75,2
20,11,1
20,15,4
20,36,3
20,54,1
20,103,1
20,30,
20,17,1
20,104,1
20,73,0.5
20,19,2
20,14,2
20,105,1
20,67,1
20,6,
21,77,1
21,106,10
21,28,2
21,23,0.5
21,83,3
21,36,1
21,18,1
21,84,1
21,48,0.25
21,47,3
22,6,1
22,107,6
22,23,1
22,21,1
22,18,
22,54,1
22,30,
22,25,0.5
22,29,1
23,108,1
23,109,
23,110,
23,111,
24,112,1
24,41,20
24,21,1
24,28,2
24,15,40
24,17,10
24,29,5
24,25,15
24,30,2
24,8,10
25,27,100
25,106,30
25,113,1
25,13,0.5
25,114,10
25,28,1
25,25,5
25,18,5
26,6,1
26,2,20
26,73,20
26,19,20
26,115,70
26,116,1
26,18,
26,25,1
27,117,1
27,36,3
27,2,0.25
27,72,2
27,57,6
27,44,0.25
27,23,1
27,118,
27,119,2
27,15,1
27,24,0.5
28,120,1.5
28,105,2
28,13,1
28,121,1
28,2,0.25
28,8,
28,23,1
28,62,0.5
28,54,1
28,10,1
28,18,
28,30,
29,122,1
29,41,30
29,17,10
29,21,1
29,28,2
29,42,5
29,30,2
29,29,5
29,25,5
29,123,2
30,124,1
30,125,1
30,126,1
30,14,1
31,6,1
31,127,3
31,119,0.5
31,78,0.25
31,71,100
31,128,3
31,2,0.25
31,129,1
