ingre_id,﻿ingre_name,ingre_unit,ingre_main,ingre_img
28,마늘,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154629741_L96DCFU4W.jpg%2F132_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
29,깨소금,g,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181837574_XIKOMUMNI.jpg%2F841_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
30,후추,g,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180917225_CEPH3SVS2.jpg%2F572_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
31,잣,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2543_000_1%2F20130718161046928_DFB6BO2IB.jpg%2F4813_1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
32,라면,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1767_000_1%2F20130118163550109_ZK9AG302J.jpg%2Ffe49_16_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
33,라면스프,숟가락,0,
34,카레가루,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180354938_9SN1KSGTJ.jpg%2F416_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
35,슬라이스치즈,장,0,
36,물,종이컵,1,
37,파슬리가루,약간,1,
38,밀가루,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180101226_QIDK6BN0Y.jpg%2F327_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
39,홍합,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407160231227_NW3H3XH2M.jpg%2Fi-188_2-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
40,검은후추,g,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154627779_F00O8FVWA.jpg%2F113_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
41,진간장,ml,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181848851_8YSWHWUOG.jpg%2F844_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
42,생강,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407155959600_Q7JDCYZUB.jpg%2Fi-148_3-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
43,먹물스파게티,g,0,
44,오징어,마리,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F5741_000_1%2F20190319172636809_96KW0YLYS.jpg%2Ffe125_683_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
45,버터,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181916340_1X55C0QYQ.jpg%2F860_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
46,방울토마토,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008174832754_1VCDOXZOC.jpg%2F32_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
47,올리브유,약간,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154656022_LHLPVVIN6.jpg%2F344_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
48,면수,종이컵,1,
49,그라노파다노치즈,약간,0,
50,청포묵,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008182017324_KPED3FIFK.jpg%2F1151_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
51,숙주,줌,0,
52,김,장,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F5741_000_1%2F20190802105235246_0O3YJU3I3.jpg%2Ffe125_2383_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
53,깐마늘,쪽,0,
54,간장,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2543_000_1%2F20130718155429078_UP9AR01FC.jpg%2F109_4.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
55,사골라면,개,0,
56,돼지고기,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407160135438_MXUN9G1W1.jpg%2Fi-170_1-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
57,새우,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1741_000_1%2F20130108170056461_ETSQC3KBF.jpg%2Ffe42_31_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
58,해삼,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180909241_LIHLFY3V6.jpg%2F566_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
59,죽순,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407160356539_CG8KROBGE.jpg%2Fi-208_2-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
60,팽이버섯,봉,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008175207118_36WYGN3BA.jpg%2F67_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
61,부추,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1290_000_1%2F20120706185206682_ITZY693UM.jpg%2Fff2_35_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
62,굴소스,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1005_000_1%2F20120614170126291_4H6BY9116.jpg%2Ffe30_0064_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
63,사골스프,숟가락,0,
64,전분,숟가락,1,
65,닭가슴살,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1729_000_1%2F20121218173557669_OJFBKQ5LI.jpg%2Ffe43_84_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
66,한방음료,캔,0,
67,표고버섯,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F5741_000_1%2F20191121123702697_1XA9CBNPO.png%2Ffe125_3666_i1.png%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
68,알리오올리오스파게티소스,g,0,
69,오뚜기밥,개,0,
70,고사리,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180445977_7546V8M7X.jpg%2F441_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
71,베이컨,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180504536_2ZQSFK5BG.jpg%2F449_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
72,양송이버섯,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008175208214_P9LQ01VPZ.jpg%2F68_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
73,당근,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154648636_4RR8KHZGQ.jpg%2F288_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
74,생크림,종이컵,1,
75,우유,종이컵,1,
76,편마늘,숟가락,0,
77,스파게티면,인분,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008175707537_6UH2WX1HN.jpg%2F210_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
78,브로콜리,종이컵,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2506_000_1%2F20140227160924143_ICE5OK7G6.jpg%2Fi-b344-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
79,노추,숟가락,1,
80,핫도그빵,개,0,
81,스위트랠리쉬,숟가락,1,
82,할라피뇨,개,0,
83,실파,줄기,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180109520_FLRSRUHVJ.jpg%2F332_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
84,연두,숟가락,1,
85,연두청양초,숟가락,1,
86,살치살,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1729_000_1%2F20121218170530086_OCMD1BH1R.jpg%2Ffe43_9_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
87,로즈마리,줄,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F5741_000_1%2F20191119190044389_QRRFM9WLI.jpg%2Ffe125_3410_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
88,레몬,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2506_000_1%2F20140227161327290_Z2R8D4YVM.jpg%2Fi-l47-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
89,타임,줄,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407155856687_6OGB5LUEW.jpg%2Fi-137_2-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
90,송어,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154651395_FE67GO64X.jpg%2F307_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
91,어린무,개,0,
92,아스파라거스,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407160345567_RREWYOXAS.jpg%2Fi-206_2-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
93,삶은달걀,개,0,
94,파프리카,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154627811_VLHM1K2K9.jpg%2F114_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
95,머스타드소스,숟가락,1,
96,허니머스터드,숟가락,1,
97,레몬즙,숟가락,1,
98,유자청,숟가락,0,
99,김밥김,장,0,
100,핫케이크가루,숟가락,0,
101,볶은콩가루,숟가락,0,
102,견과류분태,숟가락,1,
103,캡사이신가루,숟가락,1,
